date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:30	63101/63101	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20May%202023%2011:07:54%20GMT	https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html	C:/Users/sfcexam/Desktop/admin%20panel/demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html	(from )
09:47:30	2159/2159	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202023%2005:13:05%20GMT	https://demos.creative-tim.com/robots.txt		(from )
09:47:32	809/809	---M--	200	added ('OK')	image/png	etag:%226458d80a-329%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/apple-icon.png	C:/Users/sfcexam/Desktop/admin%20panel/demos.creative-tim.com/soft-ui-dashboard/assets/img/apple-icon.png	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html)
09:47:33	809/809	---M--	200	added ('OK')	image/png	etag:%226458d80a-329%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/favicon.png	C:/Users/sfcexam/Desktop/admin%20panel/demos.creative-tim.com/soft-ui-dashboard/assets/img/favicon.png	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html)
09:47:34	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2009%20Aug%202023%2005:13:08%20GMT	https://s3.amazonaws.com/creativetim_bucket/products/450/original/opt_sd_free_thumbnail.png	C:/Users/sfcexam/Desktop/admin%20panel/s3.amazonaws.com/creativetim_bucket/products/450/original/opt_sd_free_thumbnail.3.delayed	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html)
09:47:35	6612/6612	---MCZ	200	added ('OK')	text/css	etag:W/%226458d80a-2337%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/css/nucleo-icons.css	C:/Users/sfcexam/Desktop/admin%20panel/demos.creative-tim.com/soft-ui-dashboard/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html)
09:47:36	1113/1113	---MCZ	200	added ('OK')	text/css	etag:W/%226458d80a-8cd%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/css/nucleo-svg.css	C:/Users/sfcexam/Desktop/admin%20panel/demos.creative-tim.com/soft-ui-dashboard/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html)
09:47:37	11644/11644	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2009%20Aug%202023%2005:13:12%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/Users/sfcexam/Desktop/admin%20panel/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html)
09:47:38	376323/376323	---M-Z	200	added ('OK')	text/css	etag:W/%226458d80a-5be03%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/css/soft-ui-dashboard.min.css?v=1.0.7	C:/Users/sfcexam/Desktop/admin%20panel/demos.creative-tim.com/soft-ui-dashboard/assets/css/soft-ui-dashboard.minf2ad.css	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html)
09:47:42	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/sfcexam/Desktop/admin%20panel/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html)
